,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2850,2011-06-01,AXISBANK,EQ,1282.5,1282.25,1291.75,1265.2,1277.25,1278.25,1278.97,792282,101330661025000.0,26996.0,168311.0,0.2123999999999999
2851,2011-06-02,AXISBANK,EQ,1278.25,1255.1,1285.0,1255.1,1280.0,1273.75,1271.87,867797,110372646740000.02,29661.0,329956.0,0.3802
2852,2011-06-03,AXISBANK,EQ,1273.75,1272.0,1288.0,1224.0,1243.0,1242.75,1258.9,1413508,177946669260000.0,45306.0,589189.0,0.4168
2853,2011-06-06,AXISBANK,EQ,1242.75,1242.0,1242.0,1208.15,1235.1,1235.45,1226.1,1886949,231359439815000.0,46968.0,970371.0,0.5143
2854,2011-06-07,AXISBANK,EQ,1235.45,1227.0,1252.9,1224.75,1245.8,1244.65,1243.6,1043816,129808553575000.0,30220.0,411664.0,0.3944
2855,2011-06-08,AXISBANK,EQ,1244.65,1230.9,1236.0,1217.15,1231.7,1228.75,1227.02,1382341,169615839165000.0,60241.0,630470.0,0.4561
2856,2011-06-09,AXISBANK,EQ,1228.75,1229.9,1252.15,1229.0,1246.35,1246.4,1241.35,1049055,130224488780000.0,36765.0,380954.0,0.3631
2857,2011-06-10,AXISBANK,EQ,1246.4,1242.0,1246.0,1225.0,1231.95,1235.15,1234.68,812045,100261367490000.0,32779.0,333573.0,0.4108
2858,2011-06-13,AXISBANK,EQ,1235.15,1230.2,1238.0,1217.0,1232.4,1233.3,1228.21,1111075,136463674375000.0,33243.0,580183.0,0.5222
2859,2011-06-14,AXISBANK,EQ,1233.3,1235.0,1264.2,1235.0,1262.6,1260.05,1252.1,1054703,132059476740000.02,34341.0,510436.0,0.484
2860,2011-06-15,AXISBANK,EQ,1260.05,1259.7,1260.0,1221.0,1224.55,1224.4,1239.16,1256065,155646569120000.0,52029.0,664516.0,0.529
2861,2011-06-16,AXISBANK,EQ,1224.4,1219.95,1230.0,1205.3,1222.2,1217.85,1216.05,2721246,330916610980000.0,49420.0,1422542.0,0.5228
2862,2011-06-17,AXISBANK,EQ,1217.85,1244.7,1244.7,1213.5,1224.0,1222.55,1225.12,1261081,154497538505000.0,29368.0,498759.0,0.3954999999999999
2863,2011-06-20,AXISBANK,EQ,1222.55,1225.0,1237.5,1201.0,1230.0,1226.4,1225.31,1426140,174746881150000.0,35990.0,588207.0,0.4124
2864,2011-06-21,AXISBANK,EQ,1226.4,1231.0,1260.0,1226.4,1245.0,1241.85,1245.47,1295258,161319984790000.0,44337.0,442908.0,0.3419
2865,2011-06-22,AXISBANK,EQ,1241.85,1253.0,1267.6,1245.0,1253.0,1254.65,1255.42,1429712,179489459675000.0,45536.0,564305.0,0.3947
2866,2011-06-23,AXISBANK,EQ,1254.65,1247.35,1252.0,1232.85,1243.75,1244.35,1243.68,954141,118664280630000.0,32869.0,402084.0,0.4214
2867,2011-06-24,AXISBANK,EQ,1244.35,1251.0,1278.0,1249.95,1275.0,1272.25,1269.46,1089884,138356840845000.0,43465.0,511032.0,0.4689
2868,2011-06-27,AXISBANK,EQ,1272.25,1267.0,1312.4,1250.0,1311.0,1306.4,1296.31,1751561,227055792535000.0,63517.0,888832.0,0.5075000000000001
2869,2011-06-28,AXISBANK,EQ,1306.4,1311.05,1312.1,1290.25,1306.0,1302.9,1301.52,1376817,179195776305000.0,56060.0,572161.0,0.4156
2870,2011-06-29,AXISBANK,EQ,1302.9,1312.0,1316.0,1286.6,1293.5,1293.55,1300.58,1337460,173947091385000.0,33547.0,645539.0,0.4827
2871,2011-06-30,AXISBANK,EQ,1293.55,1295.7,1306.0,1281.1,1284.5,1289.55,1291.17,1511499,195160373050000.0,42488.0,797816.0,0.5278
2872,2011-07-01,AXISBANK,EQ,1289.55,1314.0,1315.0,1293.0,1312.0,1309.15,1303.13,855494,111481665405000.0,35806.0,344498.0,0.4027
2873,2011-07-04,AXISBANK,EQ,1309.15,1323.9,1337.7,1312.55,1337.2,1334.2,1326.75,878836,116599618209999.98,32315.0,396539.0,0.4512
2874,2011-07-05,AXISBANK,EQ,1334.2,1339.5,1339.5,1320.05,1326.5,1327.95,1326.86,780888,103612961645000.0,28261.0,358540.0,0.4590999999999999
2875,2011-07-06,AXISBANK,EQ,1327.95,1326.25,1330.6,1306.0,1312.0,1310.15,1315.71,538234,70815949280000.0,21578.0,152721.0,0.2837
2876,2011-07-07,AXISBANK,EQ,1310.15,1312.95,1335.0,1309.6,1334.9,1331.7,1323.81,574084,75997885970000.0,20198.0,208170.0,0.3626
2877,2011-07-08,AXISBANK,EQ,1331.7,1334.1,1337.9,1302.8,1306.5,1305.95,1317.71,854488,112596952084999.98,29864.0,486394.0,0.5692
2878,2011-07-11,AXISBANK,EQ,1305.95,1306.0,1306.0,1260.05,1263.65,1263.95,1273.95,1286456,163887657385000.0,41244.0,759357.0,0.5903
2879,2011-07-12,AXISBANK,EQ,1263.95,1254.4,1272.25,1245.2,1265.9,1266.4,1257.97,1443199,181550176120000.0,41891.0,684568.0,0.4743
2880,2011-07-13,AXISBANK,EQ,1266.4,1269.0,1283.9,1262.7,1276.65,1271.8,1274.76,960276,122412582475000.0,36960.0,391147.0,0.4073
2881,2011-07-14,AXISBANK,EQ,1271.8,1266.6,1294.2,1265.0,1276.2,1279.25,1281.08,814482,104341489745000.0,29652.0,269324.0,0.3307
2882,2011-07-15,AXISBANK,EQ,1279.25,1281.0,1286.85,1262.55,1269.0,1267.9,1270.72,557960,70901101630000.0,22065.0,176798.0,0.3169
2883,2011-07-18,AXISBANK,EQ,1267.9,1265.25,1269.5,1252.1,1267.0,1262.5,1260.47,794889,100193094440000.0,27542.0,255387.0,0.3213
2884,2011-07-19,AXISBANK,EQ,1262.5,1267.7,1278.0,1263.0,1271.5,1273.05,1271.98,710784,90410120240000.0,19888.0,253558.0,0.3567
2885,2011-07-20,AXISBANK,EQ,1273.05,1279.2,1281.55,1260.0,1261.7,1262.65,1268.99,936200,118802516080000.0,27820.0,406319.0,0.434
2886,2011-07-21,AXISBANK,EQ,1262.65,1259.3,1261.9,1232.0,1241.55,1239.6,1241.7,2440745,303067611160000.0,42472.0,1725646.0,0.7070000000000001
2887,2011-07-22,AXISBANK,EQ,1239.6,1247.25,1312.0,1241.0,1296.0,1296.9,1284.97,4217583,541946510910000.06,117707.0,1577109.0,0.3739
2888,2011-07-25,AXISBANK,EQ,1296.9,1294.7,1340.0,1293.35,1339.5,1337.25,1325.31,2430128,322066834350000.0,55122.0,1328511.0,0.5467000000000001
2889,2011-07-26,AXISBANK,EQ,1337.25,1335.0,1340.0,1305.6,1320.0,1319.55,1320.38,2190303,289202288325000.0,109858.0,1071895.0,0.4894
2890,2011-07-27,AXISBANK,EQ,1319.55,1322.0,1324.85,1293.75,1302.8,1300.5,1302.39,1429725,186206006700000.0,35781.0,752381.0,0.5262
2891,2011-07-28,AXISBANK,EQ,1300.5,1285.0,1307.95,1285.0,1305.0,1301.5,1297.0,1353005,175484999030000.0,36310.0,677985.0,0.5011
2892,2011-07-29,AXISBANK,EQ,1301.5,1300.0,1342.0,1292.4,1341.0,1337.5,1325.46,1850972,245338665665000.0,53688.0,1055672.0,0.5703
2893,2011-08-01,AXISBANK,EQ,1337.5,1349.0,1367.55,1346.5,1347.5,1353.0,1357.02,1226610,166453494180000.0,47620.0,630861.0,0.5143
