,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1094,2012-10-22,BAJAJFINSV,EQ,870.5,850.0,893.7,850.0,881.0,881.25,876.3,228026,19981837530000.0,9615.0,106616,0.4676
1095,2012-10-23,BAJAJFINSV,EQ,881.25,889.1,899.0,880.0,883.55,883.1,891.12,119581,10656158630000.0,5135.0,60889,0.5092
1096,2012-10-25,BAJAJFINSV,EQ,883.1,889.1,926.4,886.9,925.0,920.65,911.19,327486,29840182540000.0,12134.0,171268,0.523
1097,2012-10-26,BAJAJFINSV,EQ,920.65,927.9,933.0,851.2,859.0,858.85,878.1,532099,46723540205000.0,18349.0,321563,0.6043000000000001
1098,2012-10-29,BAJAJFINSV,EQ,858.85,868.0,876.4,855.0,856.6,858.4,866.12,96718,8376977705000.0,5456.0,34610,0.3578
1099,2012-10-30,BAJAJFINSV,EQ,858.4,857.2,864.35,841.3,847.95,847.9,850.65,83358,7090853120000.0,4721.0,42169,0.5059
1100,2012-10-31,BAJAJFINSV,EQ,847.9,850.0,858.4,840.75,849.0,851.55,852.27,55363,4718440680000.0,3636.0,25787,0.4658
1101,2012-11-01,BAJAJFINSV,EQ,851.55,851.0,866.05,840.1,859.0,860.95,859.69,99684,8569694990000.001,4028.0,66971,0.6718000000000001
1102,2012-11-02,BAJAJFINSV,EQ,860.95,860.0,870.0,849.0,855.0,856.95,855.83,144743,12387581075000.0,8709.0,71153,0.4916
1103,2012-11-05,BAJAJFINSV,EQ,856.95,857.7,862.0,849.5,852.4,855.6,855.58,47609,4073314860000.0,3115.0,28227,0.5929
1104,2012-11-06,BAJAJFINSV,EQ,855.6,856.6,856.6,847.0,849.7,849.85,850.83,30297,2577760025000.0,1419.0,13773,0.4546
1105,2012-11-07,BAJAJFINSV,EQ,849.85,850.0,860.7,843.0,848.5,846.25,850.35,64127,5453037190000.0,3294.0,31720,0.4946
1106,2012-11-08,BAJAJFINSV,EQ,846.25,846.25,853.4,840.0,840.95,841.7,845.23,48965,4138648415000.0,2190.0,23428,0.4785
1107,2012-11-09,BAJAJFINSV,EQ,841.7,841.85,851.5,837.0,840.0,838.25,842.8,60301,5082187675000.0,2385.0,32527,0.5394
1108,2012-11-12,BAJAJFINSV,EQ,838.25,841.8,843.5,832.0,834.95,833.55,835.68,63364,5295220460000.0,2748.0,36168,0.5708
1109,2012-11-13,BAJAJFINSV,EQ,833.55,839.0,849.0,834.0,846.0,846.25,842.82,33408,2815704175000.0,916.0,20153,0.6032000000000001
1110,2012-11-15,BAJAJFINSV,EQ,846.25,845.85,846.0,832.0,839.9,836.85,837.43,47286,3959893390000.0,3226.0,23214,0.4909
1111,2012-11-16,BAJAJFINSV,EQ,836.85,830.4,865.0,820.0,841.0,841.65,850.02,89505,7608124405000.0,4691.0,29825,0.3332
1112,2012-11-19,BAJAJFINSV,EQ,841.65,843.0,854.0,837.65,838.0,838.75,843.76,46134,3892621930000.0,2717.0,17651,0.3826
1113,2012-11-20,BAJAJFINSV,EQ,838.75,839.9,844.95,827.0,827.9,829.0,833.39,66317,5526824540000.0,2511.0,43716,0.6592
1114,2012-11-21,BAJAJFINSV,EQ,829.0,828.0,833.1,824.0,824.0,824.65,827.53,41256,3414056515000.0,2246.0,26275,0.6369
1115,2012-11-22,BAJAJFINSV,EQ,824.65,826.65,862.0,826.5,857.8,853.75,850.11,167127,14207680405000.002,7404.0,56363,0.3372
1116,2012-11-23,BAJAJFINSV,EQ,853.75,864.4,878.0,854.9,863.55,861.6,868.52,152656,13258524455000.0,7494.0,46034,0.3016
1117,2012-11-26,BAJAJFINSV,EQ,861.6,864.9,881.0,860.05,878.0,878.65,875.28,107815,9436822650000.0,4812.0,45652,0.4234
1118,2012-11-27,BAJAJFINSV,EQ,878.65,883.0,891.0,867.05,869.4,872.7,883.37,73531,6495483410000.0,3596.0,31358,0.4265
1119,2012-11-29,BAJAJFINSV,EQ,872.7,865.1,879.0,860.0,868.0,866.15,869.96,52225,4543346430000.0,2525.0,20921,0.4006
1120,2012-11-30,BAJAJFINSV,EQ,866.15,870.2,895.0,866.0,881.05,882.2,880.7,97787,8612108475000.0,4157.0,37970,0.3883
1121,2012-12-03,BAJAJFINSV,EQ,882.2,881.0,911.0,873.55,910.0,900.75,895.6,119073,10664170700000.0,5101.0,65074,0.5465
